ax,ay,az,gx,gy,gz
0.77718,0.01557,10.32613,-0.02451,0.00053,-0.02811
0.77718,0.01078,10.28781,-0.02358,0.00173,-0.02798
0.77958,0.03353,10.28661,-0.02332,0.00133,-0.02811
0.78317,0.04431,10.31415,-0.02398,0.0016,-0.02771
0.75922,0.01796,10.28421,-0.02411,0.0012,-0.02798
0.77479,0.02156,10.29619,-0.02372,0.0016,-0.02785
0.78197,0.01317,10.27823,-0.02398,0.00133,-0.02798
0.78676,0.0024,10.30936,-0.02372,0.00187,-0.02745
0.78437,-0.01916,10.289,-0.02358,0.0016,-0.02705
0.77359,0.00359,10.26984,-0.02358,0.0016,-0.02745
0.7676,0.01796,10.2926,-0.02385,0.00133,-0.02811
0.78197,0.02754,10.33451,-0.02332,0.0012,-0.02825
0.78078,0.00838,10.289,-0.02398,0.0016,-0.02745
0.77718,0.01198,10.2914,-0.02438,0.00147,-0.02731
0.80592,0.00479,10.31176,-0.02411,0.00067,-0.02758
0.78437,0.00599,10.28541,-0.02438,0.00093,-0.02758
0.75084,0.00719,10.31415,-0.02385,0.002,-0.02718
0.7688,0.00479,10.31774,-0.02372,0.0016,-0.02771
0.77838,0.01198,10.31535,-0.02398,0.00093,-0.02811
0.77599,0.01796,10.27703,-0.02451,0.00093,-0.02745
0.79155,0.01916,10.29858,-0.02465,0.00226,-0.02731
0.76401,0.00599,10.30457,-0.02372,0.0016,-0.02811
0.77359,0.02874,10.29619,-0.02398,0.00133,-0.02745
0.7688,0.02635,10.28062,-0.02385,0.00147,-0.02731
0.77,0.01677,10.29619,-0.02358,0.00213,-0.02785
0.77239,0.02036,10.28182,-0.02345,0.00147,-0.02785
0.77359,0.02994,10.30697,-0.02385,0.0016,-0.02731
0.77718,0.00599,10.29379,-0.02411,0.00173,-0.02825
0.78437,0.01557,10.32134,-0.02358,0.00173,-0.02811
0.77599,0.00359,10.2926,-0.02411,0.00093,-0.02745
0.75922,0.0,10.29978,-0.02398,0.00107,-0.02718
0.7688,0.01078,10.30936,-0.02318,0.00133,-0.02718
0.79036,0.02395,10.30697,-0.02425,0.00147,-0.02731
0.7688,0.00599,10.28781,-0.02451,0.00133,-0.02811
0.78676,-0.00479,10.29858,-0.02385,0.00053,-0.02825
0.79275,-0.00359,10.27224,-0.02398,0.0008,-0.02825
0.78317,-0.0012,10.30098,-0.02425,0.00067,-0.02838
